Symptom,Medicine_Name,Medicine_Type,Common_Side_Effects,Prescription_Required
Asthma,Ventolin,Lozenge,Metallic taste,Yes
High Blood Pressure,Losartan,Syrup,Nausea,No
Allergy,Cetrizine,Cream,Minor irritation,Yes
Nausea,Emetrol,Cream,Nausea,Yes
Back Pain,Nuberol Forte,Tablet,Dizziness,Yes
Flu,Actifed,Tablet,None,Yes
Acidity,Risek,Injection,None,Yes
Nausea,Domperidone,Injection,Dizziness,No
Sore Throat,Lemzinc,Syrup,Stomach upset,No
Constipation,Cremaffin,Cream,None,No
High Blood Pressure,Lisinopril,Tablet,None,Yes
Cold,NeoCitran,Syrup,Drowsiness,No
Diarrhea,Econorm,Tablet,Metallic taste,Yes
Vomiting,Domperidone,Syrup,Drowsiness,No
Back Pain,Nuberol Forte,Syrup,Drowsiness,No
Fever,Calpol,Injection,Dizziness,No
Cold,Sudafed,Injection,None,No
Sore Throat,Strepsils,Lozenge,Nausea,Yes
Nausea,Emetrol,Injection,Metallic taste,No
Fever,Calpol,Cream,Minor irritation,Yes
Nausea,Emetrol,Injection,Drowsiness,Yes
Pain,Ponstan,Injection,Minor irritation,No
Acidity,Gaviscon,Tablet,None,Yes
Acidity,Omeprazole,Lozenge,Drowsiness,Yes
Allergy,Benadryl,Capsule,Nausea,No
Diabetes,Metformin,Injection,None,Yes
Cold,Dispirin,Lozenge,Stomach upset,Yes
Back Pain,Nuberol Forte,Syrup,Drowsiness,No
Vomiting,Stemetil,Capsule,Dizziness,Yes
Allergy,Benadryl,Syrup,None,No
Headache,Panadol Extra,Injection,Nausea,Yes
Joint Pain,Arcoxia,Tablet,None,Yes
Cough,Tixylix,Capsule,Metallic taste,No
Headache,Synflex,Lozenge,Minor irritation,Yes
High Blood Pressure,Losartan,Injection,Drowsiness,Yes
Joint Pain,Celebrex,Capsule,Dizziness,No
Flu,Flutab,Lozenge,None,Yes
Nausea,Emetrol,Injection,Stomach upset,No
Acidity,Gaviscon,Cream,Nausea,No
Pain,Brufen,Injection,Metallic taste,No
Sore Throat,Lemzinc,Lozenge,Metallic taste,No
Allergy,Loratadine,Capsule,Stomach upset,No
Cough,Benylin,Syrup,Drowsiness,Yes
Allergy,Benadryl,Cream,Metallic taste,No
Diarrhea,Econorm,Tablet,Drowsiness,No
Fever,Calpol,Capsule,Dizziness,Yes
Headache,Saridon,Syrup,Minor irritation,No
Pain,Ketorolac,Syrup,Drowsiness,No
Asthma,Symbicort,Cream,Metallic taste,No
Skin Rash,Betnovate,Cream,None,No
Asthma,Symbicort,Cream,Minor irritation,Yes
Joint Pain,Arcoxia,Capsule,Nausea,Yes
Acidity,Risek,Tablet,Minor irritation,No
Cold,NeoCitran,Capsule,Drowsiness,No
Allergy,Benadryl,Syrup,Metallic taste,No
Headache,Saridon,Syrup,Nausea,No
Acidity,Gaviscon,Injection,Metallic taste,No
Cough,Benylin,Injection,Drowsiness,No
Infection,Amoxicillin,Syrup,Minor irritation,No
Skin Rash,Hydrocortisone,Injection,Stomach upset,Yes
Fever,Calpol,Injection,Nausea,No
Asthma,Seretide,Syrup,Minor irritation,No
Infection,Ciprofloxacin,Capsule,Dizziness,No
Flu,Contac,Syrup,Nausea,Yes
Constipation,Duphalac,Cream,None,No
Cough,Benylin,Injection,Drowsiness,Yes
Infection,Augmentin,Cream,Nausea,No
Infection,Amoxicillin,Injection,Metallic taste,No
Skin Rash,Hydrocortisone,Tablet,Nausea,Yes
Joint Pain,Arcoxia,Capsule,Nausea,Yes
Constipation,Duphalac,Tablet,Metallic taste,No
Skin Rash,Hydrocortisone,Lozenge,None,Yes
Diarrhea,Econorm,Syrup,Stomach upset,Yes
Flu,Flutab,Capsule,Dizziness,No
Constipation,Lactulose,Tablet,Nausea,Yes
Acidity,Omeprazole,Cream,Metallic taste,No
Back Pain,Nuberol Forte,Cream,Stomach upset,No
Infection,Augmentin,Lozenge,Dizziness,Yes
Flu,Flutab,Tablet,None,Yes
Flu,Contac,Injection,Drowsiness,No
Sore Throat,Lemzinc,Lozenge,Minor irritation,No
Diarrhea,Flagyl,Syrup,None,No
Allergy,Cetrizine,Capsule,Drowsiness,No
Headache,Synflex,Syrup,Dizziness,No
Sore Throat,Strepsils,Cream,Stomach upset,Yes
Infection,Ciprofloxacin,Capsule,Minor irritation,Yes
Flu,Contac,Tablet,Stomach upset,No
Joint Pain,Celebrex,Injection,Metallic taste,No
Diarrhea,Econorm,Tablet,Minor irritation,Yes
Cold,NeoCitran,Capsule,Stomach upset,No
High Blood Pressure,Amlodipine,Injection,Dizziness,No
Pain,Brufen,Tablet,Stomach upset,Yes
Sore Throat,Strepsils,Lozenge,Drowsiness,No
Diabetes,Glibenclamide,Tablet,Drowsiness,Yes
Constipation,Duphalac,Syrup,Drowsiness,Yes
Back Pain,Nuberol Forte,Syrup,Minor irritation,No
Constipation,Duphalac,Syrup,Nausea,No
Skin Rash,Betnovate,Capsule,Metallic taste,No
Sore Throat,Cepacol,Syrup,Minor irritation,Yes
Back Pain,Ibuprofen,Lozenge,Metallic taste,No
Headache,Panadol Extra,Injection,Metallic taste,No
Back Pain,Ibuprofen,Injection,Nausea,Yes
Allergy,Loratadine,Tablet,Stomach upset,Yes
Fever,Calpol,Injection,Metallic taste,No
Diabetes,Insulin,Capsule,Dizziness,Yes
Asthma,Ventolin,Cream,Stomach upset,No
Allergy,Loratadine,Lozenge,Nausea,Yes
Pain,Ketorolac,Tablet,Metallic taste,Yes
Cold,Dispirin,Capsule,Metallic taste,No
High Blood Pressure,Losartan,Injection,None,Yes
Fever,Panadol,Injection,Minor irritation,Yes
Acidity,Omeprazole,Cream,None,Yes
Vomiting,Zofran,Cream,Metallic taste,Yes
Cough,Tixylix,Tablet,Stomach upset,Yes
High Blood Pressure,Lisinopril,Capsule,Dizziness,No
Cough,Benylin,Injection,Drowsiness,No
Diarrhea,Imodium,Syrup,Nausea,Yes
Sore Throat,Lemzinc,Cream,Stomach upset,No
Diabetes,Metformin,Lozenge,None,No
Fever,Panadol,Injection,Dizziness,No
Sore Throat,Strepsils,Cream,Minor irritation,Yes
Cough,Benylin,Capsule,Drowsiness,Yes
Joint Pain,Voltral,Cream,Stomach upset,No
Sore Throat,Lemzinc,Syrup,Stomach upset,Yes
Nausea,Gravinate,Syrup,Drowsiness,Yes
Constipation,Duphalac,Syrup,Minor irritation,Yes
Nausea,Domperidone,Lozenge,Drowsiness,No
Infection,Amoxicillin,Syrup,Minor irritation,Yes
Asthma,Seretide,Capsule,None,No
Constipation,Duphalac,Syrup,Drowsiness,Yes
Joint Pain,Voltral,Capsule,Minor irritation,No
Flu,Contac,Tablet,None,Yes
Fever,Disprol,Tablet,Stomach upset,No
Asthma,Seretide,Capsule,Drowsiness,Yes
Infection,Amoxicillin,Injection,Dizziness,Yes
Asthma,Seretide,Capsule,None,Yes
High Blood Pressure,Losartan,Cream,Stomach upset,Yes
Cough,Corex,Tablet,Dizziness,Yes
Back Pain,Orudis,Injection,None,No
High Blood Pressure,Lisinopril,Syrup,Minor irritation,No
Skin Rash,Betnovate,Tablet,Metallic taste,No
Diarrhea,Econorm,Tablet,Minor irritation,No
Diarrhea,Imodium,Lozenge,Metallic taste,No
Nausea,Emetrol,Capsule,None,No
Acidity,Gaviscon,Capsule,Stomach upset,Yes
Infection,Ciprofloxacin,Capsule,Nausea,Yes
Flu,Contac,Syrup,Drowsiness,No
Diabetes,Glibenclamide,Tablet,Nausea,Yes
Vomiting,Domperidone,Lozenge,None,No
Sore Throat,Strepsils,Lozenge,Minor irritation,No
Flu,Flutab,Lozenge,Dizziness,Yes
High Blood Pressure,Losartan,Lozenge,None,No
Infection,Ciprofloxacin,Injection,Drowsiness,No
Headache,Synflex,Tablet,Stomach upset,Yes
Asthma,Ventolin,Syrup,Stomach upset,Yes
Allergy,Cetrizine,Lozenge,Drowsiness,No
Infection,Augmentin,Cream,Drowsiness,No
High Blood Pressure,Lisinopril,Injection,Drowsiness,No
Pain,Ponstan,Injection,Dizziness,No
Cough,Corex,Lozenge,None,Yes
Asthma,Symbicort,Cream,None,No
Diarrhea,Flagyl,Lozenge,None,No
Sore Throat,Lemzinc,Cream,Minor irritation,Yes
Sore Throat,Cepacol,Tablet,Drowsiness,Yes
Pain,Brufen,Tablet,Minor irritation,Yes
Pain,Ponstan,Lozenge,Dizziness,No
Joint Pain,Celebrex,Lozenge,Stomach upset,Yes
Headache,Saridon,Tablet,Minor irritation,Yes
Asthma,Symbicort,Lozenge,Dizziness,Yes
Constipation,Duphalac,Syrup,Nausea,No
Nausea,Gravinate,Cream,Minor irritation,Yes
Fever,Calpol,Tablet,Drowsiness,Yes
Pain,Ketorolac,Syrup,Nausea,Yes
Allergy,Cetrizine,Lozenge,Drowsiness,Yes
Joint Pain,Voltral,Capsule,Dizziness,Yes
Infection,Augmentin,Cream,Nausea,Yes
Allergy,Loratadine,Cream,None,No
Allergy,Cetrizine,Injection,Drowsiness,No
Fever,Calpol,Cream,Minor irritation,No
Nausea,Gravinate,Cream,Minor irritation,Yes
Pain,Ketorolac,Tablet,Metallic taste,No
Diabetes,Insulin,Syrup,Stomach upset,No
Skin Rash,Hydrocortisone,Tablet,Stomach upset,Yes
Headache,Synflex,Tablet,None,Yes
Skin Rash,Betnovate,Cream,Nausea,No
Headache,Saridon,Injection,None,Yes
Cough,Tixylix,Syrup,None,No
Joint Pain,Voltral,Lozenge,None,Yes
Cold,Dispirin,Capsule,Minor irritation,Yes
Allergy,Loratadine,Cream,Dizziness,Yes
Nausea,Gravinate,Capsule,Metallic taste,Yes
Diabetes,Glibenclamide,Tablet,None,Yes
Acidity,Risek,Injection,Drowsiness,Yes
Allergy,Loratadine,Cream,Metallic taste,Yes
Back Pain,Orudis,Capsule,Drowsiness,Yes
Back Pain,Orudis,Syrup,Minor irritation,Yes
Fever,Panadol,Capsule,Nausea,Yes
Infection,Ciprofloxacin,Cream,Stomach upset,No
Back Pain,Ibuprofen,Lozenge,Drowsiness,Yes
Allergy,Benadryl,Lozenge,Stomach upset,No
Sore Throat,Strepsils,Lozenge,Metallic taste,No
Cough,Benylin,Lozenge,Metallic taste,No
Asthma,Ventolin,Capsule,Stomach upset,No
Allergy,Benadryl,Injection,Metallic taste,No
Constipation,Cremaffin,Tablet,Metallic taste,Yes
Constipation,Lactulose,Capsule,Metallic taste,Yes
Joint Pain,Celebrex,Injection,Dizziness,No
High Blood Pressure,Lisinopril,Lozenge,Minor irritation,Yes
Asthma,Ventolin,Syrup,Metallic taste,Yes
Back Pain,Nuberol Forte,Syrup,Stomach upset,Yes
Pain,Ponstan,Tablet,Stomach upset,Yes
Allergy,Loratadine,Capsule,Nausea,No
Acidity,Omeprazole,Tablet,Drowsiness,Yes
Pain,Ketorolac,Cream,Metallic taste,No
Sore Throat,Cepacol,Lozenge,Nausea,No
Cold,Sudafed,Lozenge,Drowsiness,No
Pain,Ponstan,Lozenge,Metallic taste,No
Headache,Saridon,Tablet,Minor irritation,No
Infection,Ciprofloxacin,Tablet,Minor irritation,Yes
Diabetes,Insulin,Cream,Metallic taste,Yes
Sore Throat,Lemzinc,Injection,Metallic taste,Yes
Diarrhea,Econorm,Cream,None,Yes
Diarrhea,Econorm,Capsule,Drowsiness,Yes
Cold,Dispirin,Tablet,Stomach upset,Yes
Diarrhea,Econorm,Cream,Stomach upset,Yes
Skin Rash,Fucidin,Cream,Stomach upset,No
Acidity,Risek,Cream,Dizziness,Yes
Sore Throat,Strepsils,Capsule,None,Yes
Skin Rash,Hydrocortisone,Injection,Metallic taste,Yes
Asthma,Seretide,Lozenge,Drowsiness,Yes
Acidity,Omeprazole,Capsule,Minor irritation,No
Headache,Saridon,Lozenge,Minor irritation,No
Cold,Sudafed,Lozenge,Minor irritation,No
Cold,NeoCitran,Capsule,Dizziness,No
Acidity,Risek,Capsule,Stomach upset,No
Headache,Saridon,Injection,Metallic taste,Yes
Asthma,Ventolin,Injection,Metallic taste,Yes
Headache,Saridon,Syrup,Minor irritation,Yes
Back Pain,Ibuprofen,Syrup,Drowsiness,Yes
Acidity,Gaviscon,Cream,None,Yes
Back Pain,Ibuprofen,Tablet,None,Yes
Diabetes,Insulin,Tablet,Drowsiness,No
Asthma,Seretide,Tablet,Dizziness,Yes
Back Pain,Orudis,Cream,Minor irritation,Yes
Cold,NeoCitran,Tablet,None,Yes
Flu,Flutab,Capsule,Dizziness,Yes
Allergy,Benadryl,Cream,Dizziness,Yes
Acidity,Gaviscon,Tablet,Metallic taste,No
Fever,Panadol,Syrup,Nausea,No
Infection,Amoxicillin,Capsule,Dizziness,No
Sore Throat,Strepsils,Cream,None,Yes
Cough,Corex,Tablet,None,Yes
Fever,Panadol,Tablet,Minor irritation,Yes
Diarrhea,Imodium,Lozenge,Drowsiness,Yes
Diabetes,Metformin,Cream,Nausea,No
Cold,NeoCitran,Injection,Nausea,No
Headache,Synflex,Cream,Nausea,No
Vomiting,Domperidone,Capsule,Dizziness,Yes
Fever,Disprol,Syrup,Metallic taste,Yes
Acidity,Risek,Injection,Drowsiness,No
Skin Rash,Hydrocortisone,Capsule,Drowsiness,No
Allergy,Loratadine,Lozenge,Dizziness,Yes
Acidity,Omeprazole,Syrup,Nausea,Yes
Flu,Contac,Tablet,Metallic taste,Yes
Nausea,Gravinate,Lozenge,Minor irritation,No
Nausea,Emetrol,Cream,Dizziness,No
Infection,Augmentin,Cream,None,Yes
High Blood Pressure,Lisinopril,Injection,Stomach upset,Yes
Acidity,Risek,Capsule,Minor irritation,Yes
Back Pain,Nuberol Forte,Tablet,Minor irritation,No
Diarrhea,Imodium,Tablet,Minor irritation,Yes
Sore Throat,Lemzinc,Capsule,Stomach upset,Yes
Flu,Actifed,Capsule,Minor irritation,No
Cold,Sudafed,Injection,Drowsiness,No
Back Pain,Ibuprofen,Capsule,Stomach upset,No
Cough,Tixylix,Capsule,Drowsiness,No
Cold,Sudafed,Cream,None,Yes
Flu,Actifed,Syrup,Stomach upset,Yes
Fever,Disprol,Syrup,Metallic taste,No
Infection,Ciprofloxacin,Injection,Nausea,No
Nausea,Emetrol,Syrup,Nausea,Yes
Pain,Ponstan,Syrup,Stomach upset,No
Acidity,Gaviscon,Lozenge,Stomach upset,Yes
Vomiting,Domperidone,Cream,Drowsiness,Yes
Asthma,Ventolin,Tablet,Drowsiness,Yes
Back Pain,Nuberol Forte,Tablet,Stomach upset,No
Skin Rash,Fucidin,Tablet,None,No
Pain,Ponstan,Injection,Nausea,Yes
Diabetes,Insulin,Syrup,Minor irritation,No
Cough,Corex,Injection,Stomach upset,Yes
Diarrhea,Imodium,Lozenge,Minor irritation,Yes
Back Pain,Orudis,Capsule,None,No
Flu,Flutab,Cream,Minor irritation,No
Pain,Brufen,Syrup,Drowsiness,No
Nausea,Gravinate,Injection,Nausea,Yes
Pain,Brufen,Syrup,Minor irritation,Yes
Diarrhea,Flagyl,Tablet,Dizziness,Yes
Cough,Benylin,Injection,Metallic taste,Yes
Allergy,Loratadine,Tablet,Drowsiness,No
Joint Pain,Voltral,Lozenge,Stomach upset,No
Nausea,Emetrol,Cream,Nausea,No
Back Pain,Orudis,Capsule,Minor irritation,Yes
Diabetes,Insulin,Syrup,None,No
Vomiting,Zofran,Capsule,Nausea,No
Pain,Ponstan,Syrup,Stomach upset,No
Diarrhea,Imodium,Tablet,Metallic taste,Yes
Acidity,Risek,Capsule,Drowsiness,Yes
Diabetes,Insulin,Injection,None,No
Cough,Corex,Cream,None,No
Sore Throat,Strepsils,Cream,Metallic taste,No
Acidity,Omeprazole,Injection,Nausea,Yes
Skin Rash,Hydrocortisone,Cream,Stomach upset,No
Constipation,Cremaffin,Capsule,Minor irritation,No
Joint Pain,Celebrex,Lozenge,Dizziness,Yes
Skin Rash,Fucidin,Syrup,Nausea,Yes
High Blood Pressure,Amlodipine,Lozenge,Minor irritation,No
Vomiting,Zofran,Capsule,Nausea,No
Back Pain,Ibuprofen,Cream,Drowsiness,Yes
Allergy,Loratadine,Injection,Nausea,No
Joint Pain,Voltral,Cream,Nausea,No
Sore Throat,Strepsils,Injection,Minor irritation,Yes
Skin Rash,Fucidin,Capsule,Drowsiness,Yes
Constipation,Lactulose,Injection,Metallic taste,No
Pain,Ponstan,Lozenge,None,No
Constipation,Lactulose,Cream,Minor irritation,Yes
Vomiting,Stemetil,Tablet,Stomach upset,Yes
Sore Throat,Lemzinc,Capsule,Stomach upset,No
Vomiting,Domperidone,Tablet,Minor irritation,No
Flu,Actifed,Lozenge,Minor irritation,No
Cough,Tixylix,Tablet,Dizziness,No
High Blood Pressure,Amlodipine,Cream,Metallic taste,No
Pain,Ketorolac,Injection,Nausea,Yes
Asthma,Ventolin,Cream,Nausea,Yes
Fever,Panadol,Injection,Metallic taste,No
Infection,Ciprofloxacin,Capsule,Minor irritation,Yes
High Blood Pressure,Losartan,Cream,Nausea,No
Acidity,Omeprazole,Capsule,None,Yes
Allergy,Cetrizine,Syrup,Dizziness,No
Nausea,Gravinate,Lozenge,Stomach upset,Yes
Vomiting,Domperidone,Capsule,Nausea,No
Sore Throat,Strepsils,Syrup,Drowsiness,No
Asthma,Ventolin,Capsule,Metallic taste,No
Headache,Saridon,Syrup,Stomach upset,No
High Blood Pressure,Losartan,Lozenge,None,No
Diarrhea,Econorm,Tablet,Stomach upset,No
Asthma,Ventolin,Injection,Minor irritation,Yes
Back Pain,Orudis,Capsule,Nausea,No
Infection,Augmentin,Tablet,Dizziness,No
Constipation,Lactulose,Cream,Stomach upset,Yes
Diabetes,Insulin,Injection,Nausea,No
Vomiting,Zofran,Lozenge,Minor irritation,No
Constipation,Cremaffin,Syrup,None,Yes
Back Pain,Ibuprofen,Lozenge,Stomach upset,No
Asthma,Ventolin,Cream,None,Yes
Constipation,Lactulose,Tablet,Nausea,No
Flu,Actifed,Tablet,Minor irritation,Yes
Fever,Calpol,Tablet,Drowsiness,Yes
Diabetes,Metformin,Injection,Drowsiness,Yes
Nausea,Emetrol,Lozenge,None,Yes
Headache,Saridon,Tablet,Stomach upset,Yes
Headache,Saridon,Syrup,Metallic taste,Yes
High Blood Pressure,Lisinopril,Tablet,Nausea,No
Sore Throat,Lemzinc,Tablet,Nausea,Yes
Joint Pain,Voltral,Lozenge,Minor irritation,Yes
Cold,Sudafed,Injection,None,No
Headache,Saridon,Lozenge,None,No
Joint Pain,Celebrex,Lozenge,Metallic taste,No
Acidity,Risek,Cream,None,Yes
Acidity,Gaviscon,Cream,Dizziness,No
Asthma,Symbicort,Tablet,None,No
High Blood Pressure,Losartan,Injection,Stomach upset,Yes
Asthma,Symbicort,Syrup,Minor irritation,Yes
Fever,Calpol,Tablet,Dizziness,Yes
Flu,Contac,Syrup,Minor irritation,Yes
High Blood Pressure,Lisinopril,Cream,None,No
Asthma,Seretide,Lozenge,None,No
Infection,Ciprofloxacin,Lozenge,Nausea,No
Cold,Sudafed,Syrup,None,Yes
Acidity,Risek,Lozenge,Minor irritation,No
Back Pain,Orudis,Lozenge,None,No
Skin Rash,Fucidin,Tablet,Nausea,No
Headache,Panadol Extra,Cream,Dizziness,Yes
Headache,Panadol Extra,Tablet,None,No
Infection,Amoxicillin,Lozenge,Drowsiness,Yes
Cough,Tixylix,Capsule,Metallic taste,No
Constipation,Cremaffin,Tablet,Stomach upset,Yes
Diabetes,Insulin,Tablet,Drowsiness,Yes
Nausea,Domperidone,Syrup,Stomach upset,No
Diarrhea,Econorm,Lozenge,Nausea,No
Fever,Panadol,Cream,Dizziness,Yes
Skin Rash,Hydrocortisone,Lozenge,None,No
Diarrhea,Econorm,Lozenge,Drowsiness,No
Back Pain,Nuberol Forte,Tablet,Dizziness,Yes
Pain,Ponstan,Capsule,Stomach upset,Yes
Pain,Brufen,Injection,Dizziness,Yes
Constipation,Cremaffin,Syrup,Nausea,No
Nausea,Emetrol,Syrup,Minor irritation,No
Cold,Dispirin,Lozenge,Stomach upset,Yes
Cold,Sudafed,Capsule,Metallic taste,No
Asthma,Seretide,Lozenge,None,Yes
Infection,Ciprofloxacin,Capsule,Drowsiness,No
Headache,Saridon,Cream,Metallic taste,No
Fever,Calpol,Capsule,None,Yes
Nausea,Emetrol,Lozenge,Metallic taste,Yes
Fever,Disprol,Cream,Minor irritation,No
Joint Pain,Voltral,Lozenge,Drowsiness,No
Vomiting,Zofran,Tablet,Metallic taste,No
Cold,NeoCitran,Capsule,None,No
Asthma,Ventolin,Syrup,Stomach upset,Yes
Diabetes,Glibenclamide,Tablet,Metallic taste,No
Cold,Dispirin,Capsule,Drowsiness,No
Headache,Synflex,Cream,Nausea,No
High Blood Pressure,Lisinopril,Injection,Dizziness,No
Headache,Synflex,Tablet,Dizziness,Yes
Fever,Calpol,Cream,Minor irritation,Yes
Infection,Ciprofloxacin,Capsule,Drowsiness,No
Infection,Amoxicillin,Injection,Minor irritation,No
High Blood Pressure,Losartan,Tablet,Drowsiness,No
Infection,Ciprofloxacin,Syrup,Stomach upset,No
Diarrhea,Imodium,Injection,Stomach upset,Yes
Nausea,Domperidone,Cream,Minor irritation,No
Flu,Actifed,Syrup,Stomach upset,No
Nausea,Domperidone,Syrup,Stomach upset,Yes
Acidity,Omeprazole,Injection,Dizziness,Yes
High Blood Pressure,Losartan,Injection,None,No
Asthma,Seretide,Syrup,Metallic taste,No
Headache,Panadol Extra,Capsule,Metallic taste,No
Acidity,Omeprazole,Tablet,Minor irritation,No
Skin Rash,Betnovate,Tablet,Stomach upset,Yes
Cough,Corex,Capsule,Nausea,Yes
Skin Rash,Betnovate,Lozenge,Dizziness,Yes
Asthma,Seretide,Injection,None,Yes
Acidity,Omeprazole,Syrup,Minor irritation,Yes
Back Pain,Orudis,Injection,Minor irritation,No
High Blood Pressure,Losartan,Lozenge,Dizziness,Yes
Joint Pain,Voltral,Injection,Metallic taste,Yes
Flu,Flutab,Injection,Drowsiness,Yes
Sore Throat,Strepsils,Capsule,Nausea,Yes
Sore Throat,Strepsils,Injection,None,No
Acidity,Risek,Tablet,Stomach upset,Yes
Headache,Saridon,Injection,None,No
Skin Rash,Betnovate,Injection,Drowsiness,Yes
Sore Throat,Strepsils,Cream,Metallic taste,No
High Blood Pressure,Losartan,Syrup,Stomach upset,Yes
Allergy,Benadryl,Cream,Dizziness,Yes
Vomiting,Zofran,Tablet,Metallic taste,Yes
Vomiting,Stemetil,Lozenge,Nausea,Yes
High Blood Pressure,Amlodipine,Lozenge,Minor irritation,Yes
Asthma,Symbicort,Tablet,Nausea,Yes
Vomiting,Stemetil,Lozenge,Drowsiness,Yes
Diabetes,Metformin,Cream,Minor irritation,No
Acidity,Risek,Lozenge,None,Yes
